,humidness (t-3),temperature(t-3),precipitation(t-3),sunshine_duration(t-3),humidness (t-2),temperature(t-2),precipitation(t-2),sunshine_duration(t-2),humidness (t-1),temperature(t-1),precipitation(t-1),sunshine_duration(t-1),sunshine_duration(t),sunshine_duration(t+1)
104,54.0,24.9,69.6,202.0,67.0,26.0,182.0,203.2,65.0,24.9,50.7,187.4,0.5785095,0.6696707
105,67.0,26.0,182.0,203.2,65.0,24.9,50.7,187.4,60.0,21.2,74.2,198.9,0.6696707,0.5871751
106,65.0,24.9,50.7,187.4,60.0,21.2,74.2,198.9,54.0,14.0,9.9,225.2,0.5871751,0.3882149
107,60.0,21.2,74.2,198.9,54.0,14.0,9.9,225.2,48.0,6.4,8.0,201.4,0.3882149,0.6180243
108,54.0,14.0,9.9,225.2,48.0,6.4,8.0,201.4,56.0,-0.5,3.2,144.0,0.6180243,0.44436738
109,48.0,6.4,8.0,201.4,56.0,-0.5,3.2,144.0,41.0,-2.7,1.5,210.3,0.44436738,0.82772964
110,56.0,-0.5,3.2,144.0,41.0,-2.7,1.5,210.3,46.0,-2.8,10.0,160.2,0.82772964,0.772617
111,41.0,-2.7,1.5,210.3,46.0,-2.8,10.0,160.2,31.0,6.3,0.2,270.8,0.772617,0.79445416
112,46.0,-2.8,10.0,160.2,31.0,6.3,0.2,270.8,34.0,16.4,17.0,254.9,0.79445416,0.6922011
113,31.0,6.3,0.2,270.8,34.0,16.4,17.0,254.9,48.0,19.8,68.4,261.2,0.6922011,0.5840555
114,34.0,16.4,17.0,254.9,48.0,19.8,68.4,261.2,60.0,25.6,66.4,231.7,0.5840555,0.53171575
115,48.0,19.8,68.4,261.2,60.0,25.6,66.4,231.7,65.0,27.9,96.1,200.5,0.53171575,0.5556326
116,60.0,25.6,66.4,231.7,65.0,27.9,96.1,200.5,73.0,26.0,123.4,185.4,0.5556326,0.63882154
117,65.0,27.9,96.1,200.5,73.0,26.0,123.4,185.4,59.0,22.0,24.5,192.3,0.63882154,0.55701905
118,73.0,26.0,123.4,185.4,59.0,22.0,24.5,192.3,50.0,14.9,1.8,216.3,0.55701905,0.58162916
119,59.0,22.0,24.5,192.3,50.0,14.9,1.8,216.3,45.0,7.5,0.4,192.7,0.58162916,0.27279028
120,50.0,14.9,1.8,216.3,45.0,7.5,0.4,192.7,36.0,-2.5,1.0,199.8,0.27279028,0.4492201
121,45.0,7.5,0.4,192.7,36.0,-2.5,1.0,199.8,56.0,-1.9,0.7,110.7,0.4492201,0.82980937
122,36.0,-2.5,1.0,199.8,56.0,-1.9,0.7,110.7,43.0,-0.9,5.6,161.6,0.82980937,0.61906415
123,56.0,-1.9,0.7,110.7,43.0,-0.9,5.6,161.6,29.0,8.0,0.1,271.4,0.61906415,0.5386482
124,43.0,-0.9,5.6,161.6,29.0,8.0,0.1,271.4,40.0,13.5,1.0,210.6,0.5386482,0.5743501
125,29.0,8.0,0.1,271.4,40.0,13.5,1.0,210.6,51.0,20.4,50.3,187.4,0.5743501,0.36395147
126,40.0,13.5,1.0,210.6,51.0,20.4,50.3,187.4,52.0,25.9,35.1,197.7,0.36395147,0.43916807
127,51.0,20.4,50.3,187.4,52.0,25.9,35.1,197.7,72.0,25.9,155.0,137.0,0.43916807,0.6755633
128,52.0,25.9,35.1,197.7,72.0,25.9,155.0,137.0,71.0,26.4,47.5,158.7,0.6755633,0.5164645
129,72.0,25.9,155.0,137.0,71.0,26.4,47.5,158.7,56.0,21.8,1.1,226.9,0.5164645,0.5154246
130,71.0,26.4,47.5,158.7,56.0,21.8,1.1,226.9,59.0,16.1,15.0,181.0,0.5154246,0.47487
131,56.0,21.8,1.1,226.9,59.0,16.1,15.0,181.0,53.0,6.7,3.6,180.7,0.47487,0.60727906
132,59.0,16.1,15.0,181.0,53.0,6.7,3.6,180.7,49.0,-1.0,3.0,169.0,0.60727906,0.49844024
133,53.0,6.7,3.6,180.7,49.0,-1.0,3.0,169.0,44.0,-1.5,3.45,207.2,0.49844024,0.55181974
134,49.0,-1.0,3.0,169.0,44.0,-1.5,3.45,207.2,47.0,3.7,8.175,175.8,0.55181974,0.7906413
135,44.0,-1.5,3.45,207.2,47.0,3.7,8.175,175.8,56.0,6.2,43.4,191.2,0.7906413,0.8831889
136,47.0,3.7,8.175,175.8,56.0,6.2,43.4,191.2,35.0,15.2,2.0,260.1,0.8831889,0.47625646
137,56.0,6.2,43.4,191.2,35.0,15.2,2.0,260.1,37.0,22.6,48.5,286.8,0.47625646,0.39341423
